Title,Author,Date_of_Post,Comments_Count,Article_URL
The URL shortener that makes your links look as suspicious as possible,dreadsword,5 hours ago,53 comments,https://creepylink.com/
Claude Cowork exfiltrates files,takira,12 hours ago,286 comments,https://www.promptarmor.com/resources/claude-cowork-exfiltrates-files
Handy – free open source speech-to-text app,tin7in,3 hours ago,32 comments,https://github.com/cjpais/Handy
Raspberry Pi's New AI Hat Adds 8GB of RAM for Local LLMs,ingve,24 minutes ago,discuss,https://www.jeffgeerling.com/blog/2026/raspberry-pi-ai-hat-2/
Furiosa: 3.5x efficiency over H100s,written-beyond,7 hours ago,91 comments,https://furiosa.ai/blog/introducing-rngd-server-efficient-ai-inference-at-data-center-scale
Show HN: Sparrow-1 – Audio-native model for human-level turn-taking without ASR,code_brian,5 hours ago,16 comments,https://www.tavus.io/post/sparrow-1-human-level-conversational-timing-in-real-time-voice
New Safari developer tools provide insight into CSS Grid Lanes,feross,5 hours ago,20 comments,https://webkit.org/blog/17746/new-safari-developer-tools-provide-insight-into-css-grid-lanes/
Ask HN: How are you doing RAG locally?,tmaly,6 hours ago,44 comments,https://news.ycombinator.com/item?id=46616529
Ask HN: Share your personal website,susam,15 hours ago,1655 comments,https://news.ycombinator.com/item?id=46618714
Project SkyWatch,jjwiseman,4 hours ago,5 comments,https://ianservin.com/2026/01/13/project-skywatch-aka-wescam-at-home/
The <Geolocation> HTML Element,enz,1 hour ago,8 comments,https://developer.chrome.com/blog/geolocation-html-element
Scaling long-running autonomous coding,samwillis,10 hours ago,100 comments,https://cursor.com/blog/scaling-agents
Bubblewrap: A nimble way to prevent agents from accessing your .env files,0o_MrPatrick_o0,7 hours ago,69 comments,https://patrickmccanna.net/a-better-way-to-limit-claude-code-and-other-coding-agents-access-to-secrets/
Bare metal programming with RISC-V guide,todsacerdoti,3 hours ago,1 comment,https://popovicu.com/posts/bare-metal-programming-risc-v/
Ask HN: What did you find out or explore today?,blahaj,5 hours ago,92 comments,https://news.ycombinator.com/item?id=46619464
The State of OpenSSL for pyca/cryptography,SGran,10 hours ago,25 comments,https://cryptography.io/en/latest/statements/state-of-openssl/
Ask HN: Weird archive.today behavior?,rabinovich,5 hours ago,39 comments,https://news.ycombinator.com/item?id=46624740
Show HN: WebTiles – create a tiny 250x250 website with neighbors around you,dimden,12 hours ago,24 comments,https://webtiles.kicya.net/
Sun Position Calculator,sanbor,11 hours ago,20 comments,https://drajmarsh.bitbucket.io/earthsun.html
SparkFun Officially Dropping AdaFruit due to CoC Violation,yaleman,18 hours ago,448 comments,https://www.sparkfun.com/official-response
Crafting Interpreters,tosh,10 hours ago,10 comments,https://craftinginterpreters.com/
Find a pub that needs you,thinkingemote,17 hours ago,216 comments,https://www.ismypubfucked.com/
Show HN: Webctl – Browser automation for agents based on CLI instead of MCP,cosinusalpha,13 hours ago,31 comments,https://github.com/cosinusalpha/webctl
Generate QR Codes with Pure SQL in PostgreSQL,tanelpoder,11 hours ago,7 comments,https://tanelpoder.com/posts/generate-qr-code-with-pure-sql-in-postgres/
MIT Whirlwind I: A High-Speed Electronic Digital Computer,stmw,6 hours ago,2 comments,https://dome.mit.edu/bitstream/handle/1721.3/40245/MC665_r12_R-209.pdf?sequence=1&isAllowed=y
Ask HN: What is the best way to provide continuous context to models?,nemath,5 hours ago,25 comments,https://news.ycombinator.com/item?id=46626639
ChromaDB Explorer,arsentjev,10 hours ago,3 comments,https://www.chroma-explorer.com/
How can I build a simple pulse generator to demonstrate transmission lines,alphabetter,8 hours ago,9 comments,https://electronics.stackexchange.com/questions/764155/how-can-i-build-a-simple-pulse-generator-to-demonstrate-transmission-lines
Roam 50GB is now Roam 100GB,bahmboo,16 hours ago,330 comments,https://starlink.com/support/article/58c9c8b7-474e-246f-7e3c-06db3221d34d
Show HN: Ever wanted to look at yourself in Braille?,cat-whisperer,5 hours ago,13 comments,https://github.com/NishantJoshi00/dith
